date,stateId,stateName,confidence,distance,close,volatilityMultiple,volumeMultiple,trendScore,resonanceCount,middleDeviationRate,middleDeviationAtr,middlePositionPct,maDeviationRate,maDeviationAtr,maPositionPct,stretchHeat
2024-09-18,6,上侧趋势共振态,0.0439,4.0097,63153.4,1.7193,1.8956,11.0404,4,8.8383,2.0199,67.2173,1.7853,0.4363,21.9888,45.2285
2024-09-19,6,上侧趋势共振态,0.4807,1.779,63165,0.6505,1.2484,10.779,4,8.2471,1.9463,66.1656,1.6647,0.4183,21.8735,44.292
2024-09-20,6,上侧趋势共振态,0.35,2.4217,63167.5,0.4155,0.4745,9.6183,4,8.2514,2.0349,67.4327,1.5239,0.4007,21.7606,45.6721
2024-09-21,6,上侧趋势共振态,0.415,2.0055,62655.4,0.5017,0.4233,8.1563,4,7.3738,1.8882,65.3334,0.5661,0.1548,20.1824,45.151
2024-09-22,6,上侧趋势共振态,0.6078,1.2274,63626.4,1.0528,1.2367,8.6102,4,8.4969,2.1777,69.4763,1.9806,0.5401,22.6547,46.8216
2024-09-23,6,上侧趋势共振态,0.5085,1.6289,63164.2,0.5581,0.8205,9.4822,4,7.7088,2.0429,67.547,1.0991,0.3103,21.1805,46.3666
2024-09-24,6,上侧趋势共振态,0.6718,0.9946,63500,0.8006,0.9658,7.1718,4,8.2136,2.2115,69.9586,1.4911,0.4281,21.9361,48.0225
2024-09-25,6,上侧趋势共振态,0.4032,2.2081,65238.4,1.2877,1.2812,10.6489,4,10.5193,2.7861,78.1796,4.1126,1.1562,26.6086,51.5709
2024-09-26,6,上侧趋势共振态,0.4224,2.0239,66004,0.844,1.192,9.9357,4,10.9304,2.9531,80.5693,5.1692,1.4731,28.6415,51.9277
2024-09-27,6,上侧趋势共振态,0.3341,2.3829,65630.7,0.4513,0.532,8.6602,4,9.2928,2.6408,76.1011,4.4301,1.3176,27.6437,48.4574
2024-09-28,6,上侧趋势共振态,0.243,3.165,65762.9,0.2859,0.3464,10.9231,4,9.5129,2.8518,79.1208,4.5077,1.4161,28.2758,50.845
2024-09-29,6,上侧趋势共振态,0.4168,1.8813,63568.9,1.3813,1.2348,5.3448,4,4.3609,1.2872,56.7351,0.9094,0.2776,20.9707,35.7644
2024-09-30,6,上侧趋势共振态,0.1105,2.1827,62630.1,1.1158,1.3269,4.2109,3,2.6435,0.7747,49.4018,-0.6787,-0.2055,17.8703,32.7279
