instrument,bar,horizon,environment,environmentDirection,hitMeaning,observations,weightedObservations,hitRatePct,baselineRatePct,liftPct,liftWilsonLow,avgFutureReturnPct,medianFutureReturnPct,avgAbsFutureReturnPct,avgFutureRangePct,periodWeightAvg,lowSample,eligibleForCross,mainHorizon,passCandidate,firstDate,lastDate
ADA-USDT,1W,5,RANGE,neutral,低波动维持,2,0.5,100.0,50.21,49.79,-15.97,0.6698,0.6698,13.9162,32.8871,0.25,True,False,True,True,2023-02-26,2025-05-25
ADA-USDT,1W,5,TREND,down,方向命中,64,16.0,57.81,54.6,3.21,-8.99,2.9643,-2.3556,19.6425,41.9903,0.25,False,True,True,True,2023-03-05,2026-04-19
ADA-USDT,1W,5,TREND,up,方向命中,54,13.5,38.89,50.29,-11.4,-23.25,-0.4327,-7.3857,21.7068,52.307,0.25,False,True,True,False,2023-04-02,2025-09-28
ADA-USDT,1W,10,CHAOS,neutral,高扰动命中,8,2.0,25.0,25.56,-0.56,-18.41,-6.549,-9.056,13.2259,52.2583,0.25,True,False,True,False,2024-04-07,2025-07-06
ADA-USDT,1W,10,RANGE,neutral,低波动维持,1,0.25,100.0,50.0,50.0,-29.35,18.6991,18.6991,18.6991,62.8538,0.25,True,False,True,True,2025-05-25,2025-05-25
ADA-USDT,1W,10,TREND,down,方向命中,58,14.5,70.69,52.73,17.96,5.26,9.1345,-13.3607,39.355,70.9053,0.25,False,True,True,True,2023-03-12,2026-03-15
ADA-USDT,1W,10,TREND,up,方向命中,54,13.5,29.63,47.83,-18.2,-28.69,-11.1118,-22.6797,28.2173,68.1908,0.25,False,True,True,False,2023-04-02,2025-09-28
ADA-USDT,4H,1,CHAOS,neutral,高扰动命中,1293,905.1,19.88,25.01,-5.14,-7.22,-0.0204,-0.0237,1.2832,2.8243,0.7,False,True,False,False,2018-09-02 08:00,2026-06-01 00:00
ADA-USDT,4H,1,RANGE,neutral,低波动维持,2531,1771.7,69.5,50.02,19.48,17.66,-0.0458,0.0,0.7818,1.6047,0.7,False,True,False,True,2018-08-31 08:00,2026-05-31 16:00
ADA-USDT,4H,1,TREND,down,方向命中,3443,2410.1,45.98,45.65,0.33,-1.33,0.0523,0.1326,1.6965,3.6604,0.7,False,True,False,False,2018-09-06 04:00,2026-05-28 04:00
ADA-USDT,4H,1,TREND,up,方向命中,4129,2890.3,49.24,45.48,3.76,2.24,0.1079,0.0,1.6964,3.6288,0.7,False,True,False,False,2018-08-31 16:00,2026-05-11 16:00
ADA-USDT,4H,3,CHAOS,neutral,高扰动命中,1293,905.1,18.41,25.01,-6.6,-8.62,0.03,-0.0443,2.2866,4.8749,0.7,False,True,False,False,2018-09-02 08:00,2026-06-01 00:00
ADA-USDT,4H,3,RANGE,neutral,低波动维持,2530,1771.0,69.29,50.02,19.27,17.45,-0.1123,0.0,1.4561,3.0132,0.7,False,True,False,True,2018-09-02 12:00,2026-05-31 16:00
ADA-USDT,4H,3,TREND,down,方向命中,3443,2410.1,46.18,46.36,-0.18,-1.84,0.0907,0.2568,2.8851,6.3913,0.7,False,True,False,False,2018-09-06 04:00,2026-05-28 04:00
ADA-USDT,4H,3,TREND,up,方向命中,4129,2890.3,48.39,45.77,2.62,1.1,0.2991,-0.105,2.9495,6.3695,0.7,False,True,False,False,2018-08-31 16:00,2026-05-11 16:00
ADA-USDT,4H,5,CHAOS,neutral,高扰动命中,1293,905.1,18.17,25.01,-6.84,-8.85,0.0709,-0.1827,3.1295,6.442,0.7,False,True,True,False,2018-09-02 08:00,2026-06-01 00:00
ADA-USDT,4H,5,RANGE,neutral,低波动维持,2530,1771.0,67.91,50.02,17.89,16.04,-0.1446,0.0,2.0247,4.0864,0.7,False,True,True,True,2018-09-02 12:00,2026-05-31 16:00
