indicator,indicatorKey,horizon,lowOccurrences,highOccurrences,lowValueMedian,highValueMedian,lowAvgReturnPct,highAvgReturnPct,highMinusLowReturnPct,lowAvgAbsReturnPct,highAvgAbsReturnPct,highMinusLowAbsReturnPct,lowAvgExcursionPct,highAvgExcursionPct,highMinusLowExcursionPct
3日ATR百分位,atr3Percentile,3,292,293,3.4329,84.1632,0.8172,1.2462,0.429,3.1717,5.8948,2.7231,5.7584,13.4975,7.7391
3日ATR百分位,atr3Percentile,5,292,293,3.4329,84.1632,1.3272,1.996,0.6688,4.3872,6.9722,2.585,8.0117,16.7268,8.7151
3日ATR百分位,atr3Percentile,10,290,293,3.4063,84.1632,2.2501,3.1012,0.8511,7.2245,8.81,1.5855,13.0643,21.2175,8.1532
3日ATR率,atr3Pct,1,292,293,1.9997,9.1277,0.2607,0.3409,0.0802,1.2674,3.7624,2.495,2.621,8.6237,6.0027
3日ATR率,atr3Pct,3,292,293,1.9997,9.1277,1.1488,0.9134,-0.2354,2.9019,6.0754,3.1735,5.3809,13.8685,8.4876
3日ATR率,atr3Pct,5,292,293,1.9997,9.1277,1.7823,1.225,-0.5573,4.1059,7.0638,2.9579,7.5148,17.2048,9.69
3日ATR率,atr3Pct,10,290,293,1.9988,9.1277,2.8429,2.4102,-0.4327,6.8626,9.0798,2.2172,12.4519,21.9273,9.4754
8/13日ATR比,atr8To13,1,292,293,0.8805,1.1341,0.0878,0.3541,0.2663,1.9669,2.835,0.8681,3.6497,6.8887,3.239
8/13日ATR比,atr8To13,3,292,293,0.8805,1.1341,0.3893,0.8767,0.4874,3.7982,4.9384,1.1402,7.204,11.26,4.056
8/13日ATR比,atr8To13,5,292,293,0.8805,1.1341,0.6763,1.7379,1.0616,5.0211,6.0809,1.0598,9.9505,14.1639,4.2134
8/13日ATR比,atr8To13,10,292,293,0.8805,1.1341,2.0291,2.5477,0.5186,7.8727,8.0312,0.1585,15.8447,18.2036,2.3589
8/21日ATR比,atr8To21,1,292,293,0.7777,1.2767,0.0819,0.268,0.1861,1.8177,2.8985,1.0808,3.4569,7.0181,3.5612
8/21日ATR比,atr8To21,3,292,293,0.7777,1.2767,0.2147,1.0332,0.8185,3.8978,4.9644,1.0666,7.124,11.4597,4.3357
8/21日ATR比,atr8To21,5,292,293,0.7777,1.2767,0.3965,1.6859,1.2894,5.3776,6.1198,0.7422,10.0332,14.4519,4.4187
8/21日ATR比,atr8To21,10,292,293,0.7777,1.2767,1.6897,2.8031,1.1134,8.4862,7.8603,-0.6259,16.038,18.737,2.699
8日剩余动能ATR,remainingMomentumAtr8,1,292,293,-0.556,0.85,-0.1428,0.1917,0.3345,1.7687,2.4656,0.6969,3.5026,6.0941,2.5915
8日剩余动能ATR,remainingMomentumAtr8,3,292,293,-0.556,0.85,-0.0023,0.7002,0.7025,3.3334,4.1104,0.777,7.0412,9.1357,2.0945
8日剩余动能ATR,remainingMomentumAtr8,5,292,293,-0.556,0.85,0.2035,0.5995,0.396,4.4203,5.8567,1.4364,9.18,12.2952,3.1152
8日剩余动能ATR,remainingMomentumAtr8,10,292,293,-0.556,0.85,0.6261,1.5373,0.9112,6.6236,7.9859,1.3623,13.82,16.6321,2.8121
8日涨跌,d8,1,292,293,-12.8128,17.064,-0.0241,0.4715,0.4956,3.0949,2.7769,-0.318,7.1555,6.1515,-1.004
8日涨跌,d8,3,292,293,-12.8128,17.064,0.2579,1.303,1.0451,5.2751,4.8979,-0.3772,12.1685,10.5658,-1.6027
8日涨跌,d8,5,292,293,-12.8128,17.064,0.2477,2.3762,2.1285,6.1489,6.4824,0.3335,14.7466,13.8484,-0.8982
8日涨跌,d8,10,292,293,-12.8128,17.064,0.9755,4.8986,3.9231,8.3374,8.9937,0.6563,19.0869,19.3212,0.2343
