treeType,horizon,routeKey,routeLabel,ruleId,predictionKey,prediction,samples,purityPct,conditions,distribution,topClass,topSharePct,secondClass,secondSharePct,edgePct,baselinePct,liftPct,fitProbabilityPct,notFitProbabilityPct,quality,auditReason
策略适配树,10,trendLong,趋势追多,8,notFit,不适合,60,58.33,34日涨跌 <= 18.7457 AND 233MA乖离ATR > -11.5714 AND 宏观流动性评分 <= -3.4951 AND ATR率 <= 3.5453,不适合:58.3% | 适合:41.7%,不适合,58.33,适合,41.67,16.66,46.34,11.99,41.67,58.33,弱参考,样本少于200
策略适配树,10,trendLong,趋势追多,9,fit,适合,58,94.83,34日涨跌 <= 18.7457 AND 233MA乖离ATR <= -11.5714 AND 美元指数21日变化率 > -0.4301 AND 美元指数21日变化率 <= 0.3509,适合:94.8% | 不适合:5.2%,适合,94.83,不适合,5.17,89.66,53.66,41.17,94.83,5.17,弱参考,样本少于200
策略适配树,10,trendLong,趋势追多,10,notFit,不适合,52,71.15,34日涨跌 > 18.7457 AND 34日涨跌 > 56.6835,不适合:71.2% | 适合:28.9%,不适合,71.15,适合,28.85,42.3,46.34,24.81,28.85,71.15,弱参考,样本少于200
策略适配树,10,trendLong,趋势追多,11,fit,适合,45,64.44,34日涨跌 > 18.7457 AND 34日涨跌 <= 56.6835 AND 8/13日ATR比 > 1.0893 AND 8日ATR率 > 5.8109,适合:64.4% | 不适合:35.6%,适合,64.44,不适合,35.56,28.88,53.66,10.78,64.44,35.56,弱参考,样本少于200
策略适配树,10,trendLong,趋势追多,12,notFit,不适合,38,57.89,34日涨跌 <= 18.7457 AND 233MA乖离ATR <= -11.5714 AND 美元指数21日变化率 <= -0.4301,不适合:57.9% | 适合:42.1%,不适合,57.89,适合,42.11,15.78,46.34,11.55,42.11,57.89,弱参考,样本少于200
策略适配树,10,trendShort,趋势做空,1,fit,适合,1470,53.06,34日涨跌 <= 18.7457 AND 233MA乖离ATR > -11.5714 AND 宏观流动性评分 > -3.4951 AND 233MA乖离率 > -16.7416,适合:53.1% | 不适合:46.9%,适合,53.06,不适合,46.94,6.12,46.34,6.72,53.06,46.94,弱参考,第一名领先不足10%
策略适配树,10,trendShort,趋势做空,2,notFit,不适合,440,60.91,34日涨跌 <= 18.7457 AND 233MA乖离ATR > -11.5714 AND 宏观流动性评分 > -3.4951 AND 233MA乖离率 <= -16.7416,不适合:60.9% | 适合:39.1%,不适合,60.91,适合,39.09,21.82,53.66,7.25,39.09,60.91,观察,达最低门槛，但还不够强
策略适配树,10,trendShort,趋势做空,3,notFit,不适合,336,57.74,34日涨跌 > 18.7457 AND 34日涨跌 <= 56.6835 AND 8/13日ATR比 <= 1.0893 AND 美元指数21日变化率 <= 0.4398,不适合:57.7% | 适合:42.3%,不适合,57.74,适合,42.26,15.48,53.66,4.08,42.26,57.74,弱参考,相对基准提升不足5%
策略适配树,10,trendShort,趋势做空,4,notFit,不适合,140,78.57,34日涨跌 > 18.7457 AND 34日涨跌 <= 56.6835 AND 8/13日ATR比 <= 1.0893 AND 美元指数21日变化率 > 0.4398,不适合:78.6% | 适合:21.4%,不适合,78.57,适合,21.43,57.14,53.66,24.91,21.43,78.57,弱参考,样本少于200
策略适配树,10,trendShort,趋势做空,5,notFit,不适合,99,91.92,34日涨跌 > 18.7457 AND 34日涨跌 <= 56.6835 AND 8/13日ATR比 > 1.0893 AND 8日ATR率 <= 5.8109,不适合:91.9% | 适合:8.1%,不适合,91.92,适合,8.08,83.84,53.66,38.26,8.08,91.92,弱参考,样本少于200
策略适配树,10,trendShort,趋势做空,6,fit,适合,97,83.51,34日涨跌 <= 18.7457 AND 233MA乖离ATR > -11.5714 AND 宏观流动性评分 <= -3.4951 AND ATR率 > 3.5453,适合:83.5% | 不适合:16.5%,适合,83.51,不适合,16.49,67.02,46.34,37.17,83.51,16.49,弱参考,样本少于200
策略适配树,10,trendShort,趋势做空,7,notFit,不适合,76,69.74,34日涨跌 <= 18.7457 AND 233MA乖离ATR <= -11.5714 AND 美元指数21日变化率 > -0.4301 AND 美元指数21日变化率 > 0.3509,不适合:69.7% | 适合:30.3%,不适合,69.74,适合,30.26,39.48,53.66,16.08,30.26,69.74,弱参考,样本少于200
策略适配树,10,trendShort,趋势做空,8,fit,适合,60,58.33,34日涨跌 <= 18.7457 AND 233MA乖离ATR > -11.5714 AND 宏观流动性评分 <= -3.4951 AND ATR率 <= 3.5453,适合:58.3% | 不适合:41.7%,适合,58.33,不适合,41.67,16.66,46.34,11.99,58.33,41.67,弱参考,样本少于200
策略适配树,10,trendShort,趋势做空,9,notFit,不适合,58,94.83,34日涨跌 <= 18.7457 AND 233MA乖离ATR <= -11.5714 AND 美元指数21日变化率 > -0.4301 AND 美元指数21日变化率 <= 0.3509,不适合:94.8% | 适合:5.2%,不适合,94.83,适合,5.17,89.66,53.66,41.17,5.17,94.83,弱参考,样本少于200
策略适配树,10,trendShort,趋势做空,10,fit,适合,52,71.15,34日涨跌 > 18.7457 AND 34日涨跌 > 56.6835,适合:71.2% | 不适合:28.9%,适合,71.15,不适合,28.85,42.3,46.34,24.81,71.15,28.85,弱参考,样本少于200
策略适配树,10,trendShort,趋势做空,11,notFit,不适合,45,64.44,34日涨跌 > 18.7457 AND 34日涨跌 <= 56.6835 AND 8/13日ATR比 > 1.0893 AND 8日ATR率 > 5.8109,不适合:64.4% | 适合:35.6%,不适合,64.44,适合,35.56,28.88,53.66,10.78,35.56,64.44,弱参考,样本少于200
策略适配树,10,trendShort,趋势做空,12,fit,适合,38,57.89,34日涨跌 <= 18.7457 AND 233MA乖离ATR <= -11.5714 AND 美元指数21日变化率 <= -0.4301,适合:57.9% | 不适合:42.1%,适合,57.89,不适合,42.11,15.78,46.34,11.55,57.89,42.11,弱参考,样本少于200
策略适配树,10,breakoutUp,向上突破,1,notFit,不适合,661,59.15,ATR率 > 3.7553 AND 34日涨跌 <= 19.5324 AND 趋势动能 > -7.5545 AND 233MA乖离率 > -17.8635,不适合:59.1% | 适合:40.9%,不适合,59.15,适合,40.85,18.3,39.16,19.99,40.85,59.15,观察,达最低门槛，但还不够强
策略适配树,10,breakoutUp,向上突破,2,fit,适合,442,79.19,ATR率 <= 3.7553 AND 233MA乖离ATR > -11.4299 AND 宏观流动性评分 > -0.1805 AND 中值位置百分位 > 54.0884,适合:79.2% | 不适合:20.8%,适合,79.19,不适合,20.81,58.38,60.84,18.35,79.19,20.81,强参考,样本、纯度、优势差距都达标
策略适配树,10,breakoutUp,向上突破,3,fit,适合,293,69.28,ATR率 > 3.7553 AND 34日涨跌 <= 19.5324 AND 趋势动能 <= -7.5545 AND 13/21日ATR比 <= 1.0412,适合:69.3% | 不适合:30.7%,适合,69.28,不适合,30.72,38.56,60.84,8.44,69.28,30.72,观察,达最低门槛，但还不够强
策略适配树,10,breakoutUp,向上突破,4,fit,适合,293,56.31,ATR率 > 3.7553 AND 34日涨跌 <= 19.5324 AND 趋势动能 > -7.5545 AND 233MA乖离率 <= -17.8635,适合:56.3% | 不适合:43.7%,适合,56.31,不适合,43.69,12.62,60.84,-4.53,56.31,43.69,弱参考,相对基准提升不足5%
策略适配树,10,breakoutUp,向上突破,5,fit,适合,283,80.57,ATR率 > 3.7553 AND 34日涨跌 > 19.5324 AND 34日涨跌 <= 53.2059 AND M2 63日变化率 > 0.7869,适合:80.6% | 不适合:19.4%,适合,80.57,不适合,19.43,61.14,60.84,19.73,80.57,19.43,观察,达最低门槛，但还不够强
策略适配树,10,breakoutUp,向上突破,6,fit,适合,251,69.72,ATR率 <= 3.7553 AND 233MA乖离ATR > -11.4299 AND 宏观流动性评分 <= -0.1805 AND 联邦基金利率 > 4.45,适合:69.7% | 不适合:30.3%,适合,69.72,不适合,30.28,39.44,60.84,8.88,69.72,30.28,观察,达最低门槛，但还不够强
策略适配树,10,breakoutUp,向上突破,7,fit,适合,196,61.22,ATR率 <= 3.7553 AND 233MA乖离ATR > -11.4299 AND 宏观流动性评分 > -0.1805 AND 中值位置百分位 <= 54.0884,适合:61.2% | 不适合:38.8%,适合,61.22,不适合,38.78,22.44,60.84,0.38,61.22,38.78,弱参考,样本少于200；相对基准提升不足5%
策略适配树,10,breakoutUp,向上突破,8,notFit,不适合,144,56.25,ATR率 <= 3.7553 AND 233MA乖离ATR > -11.4299 AND 宏观流动性评分 <= -0.1805 AND 联邦基金利率 <= 4.45,不适合:56.3% | 适合:43.8%,不适合,56.25,适合,43.75,12.5,39.16,17.09,43.75,56.25,弱参考,样本少于200
策略适配树,10,breakoutUp,向上突破,9,notFit,不适合,131,60.31,ATR率 > 3.7553 AND 34日涨跌 <= 19.5324 AND 趋势动能 <= -7.5545 AND 13/21日ATR比 > 1.0412,不适合:60.3% | 适合:39.7%,不适合,60.31,适合,39.69,20.62,39.16,21.15,39.69,60.31,弱参考,样本少于200
策略适配树,10,breakoutUp,向上突破,10,fit,适合,86,90.7,ATR率 <= 3.7553 AND 233MA乖离ATR <= -11.4299,适合:90.7% | 不适合:9.3%,适合,90.7,不适合,9.3,81.4,60.84,29.86,90.7,9.3,弱参考,样本少于200
策略适配树,10,breakoutUp,向上突破,11,fit,适合,67,53.73,ATR率 > 3.7553 AND 34日涨跌 > 19.5324 AND 34日涨跌 <= 53.2059 AND M2 63日变化率 <= 0.7869,适合:53.7% | 不适合:46.3%,适合,53.73,不适合,46.27,7.46,60.84,-7.11,53.73,46.27,弱参考,样本少于200；第一名领先不足10%；相对基准提升不足5%
策略适配树,10,breakoutUp,向上突破,12,notFit,不适合,64,51.56,ATR率 > 3.7553 AND 34日涨跌 > 19.5324 AND 34日涨跌 > 53.2059,不适合:51.6% | 适合:48.4%,不适合,51.56,适合,48.44,3.12,39.16,12.4,48.44,51.56,弱参考,样本少于200；第一名领先不足10%
策略适配树,10,breakoutDown,向下突破,1,fit,适合,596,66.78,13日ATR百分位 <= 54.2398 AND 13日ATR率 > 3.6479 AND 10年美债21日变化bp > -3.5 AND M2 63日变化率 > 0.2144,适合:66.8% | 不适合:33.2%,适合,66.78,不适合,33.22,33.56,57.23,9.55,66.78,33.22,强参考,样本、纯度、优势差距都达标
策略适配树,10,breakoutDown,向下突破,2,fit,适合,569,63.97,13日ATR百分位 <= 54.2398 AND 13日ATR率 <= 3.6479 AND M2货币供应 > 20769.3 AND 233MA乖离率 > -14.3795,适合:64% | 不适合:36%,适合,63.97,不适合,36.03,27.94,57.23,6.74,63.97,36.03,观察,达最低门槛，但还不够强
策略适配树,10,breakoutDown,向下突破,3,fit,适合,410,60.98,13日ATR百分位 <= 54.2398 AND 13日ATR率 > 3.6479 AND 10年美债21日变化bp <= -3.5 AND M2 63日变化率 > -0.5813,适合:61% | 不适合:39%,适合,60.98,不适合,39.02,21.96,57.23,3.75,60.98,39.02,弱参考,相对基准提升不足5%
