routeKey,routeLabel,family,direction,scoreBucket,horizon,occurrences,avgScore,medianScore,successRatePct,directionalWinRatePct,avgRouteReturnPct,medianRouteReturnPct,avgFutureReturnPct,avgAbsReturnPct,avgMaxUpPct,avgMaxDownPct,lastSeen
meanReversionShort,高抛均值回归,meanReversion,short,高适配,5,274,83.93,84,78.1,42.7,-1.5248,-0.6701,1.5248,4.8488,6.3849,-5.1618,2026-04-21
meanReversionShort,高抛均值回归,meanReversion,short,不适配,10,1589,8.74,5.45,3.21,48.71,-0.6019,-0.2322,0.6019,7.3561,7.8114,-7.7604,2026-05-19
meanReversionShort,高抛均值回归,meanReversion,short,低适配,10,733,39.71,40,39.29,45.57,-1.5354,-0.956,1.5354,7.8007,8.3328,-6.8994,2026-05-13
meanReversionShort,高抛均值回归,meanReversion,short,中适配,10,315,56.72,55.54,67.3,43.17,-3.0759,-1.5137,3.0759,8.2965,9.5815,-5.597,2026-05-04
meanReversionShort,高抛均值回归,meanReversion,short,高适配,10,274,83.93,84,85.4,38.32,-3.0087,-1.8498,3.0087,6.742,9.329,-6.452,2026-04-21
trendLong,趋势追多,trend,long,不适配,1,711,16.86,19.57,50.63,50.63,-0.0446,0.0461,-0.0446,1.6823,1.6983,-1.9073,2026-05-28
trendLong,趋势追多,trend,long,低适配,1,737,38.82,39.42,51.42,51.42,0.0712,0.1113,0.0712,2.4274,2.5514,-2.7288,2026-05-27
trendLong,趋势追多,trend,long,中适配,1,264,58.5,56.34,53.79,53.79,0.0817,0.1361,0.0817,2.1682,2.3835,-2.3529,2026-05-14
trendLong,趋势追多,trend,long,高适配,1,1208,93.91,98,53.39,53.39,0.2745,0.1458,0.2745,2.1615,2.3854,-2.2373,2026-05-13
trendLong,趋势追多,trend,long,不适配,3,710,16.86,19.55,51.13,51.13,-0.0371,0.0824,-0.0371,3.2218,3.362,-3.6219,2026-05-26
trendLong,趋势追多,trend,long,低适配,3,736,38.82,39.38,49.32,49.32,-0.0419,-0.0376,-0.0419,4.0942,4.2035,-4.7267,2026-05-18
trendLong,趋势追多,trend,long,中适配,3,264,58.5,56.34,51.89,51.89,0.6628,0.2933,0.6628,3.9459,4.4665,-3.9901,2026-05-14
trendLong,趋势追多,trend,long,高适配,3,1208,93.91,98,54.39,54.39,0.8352,0.3937,0.8352,4.1054,4.5274,-3.7919,2026-05-13
trendLong,趋势追多,trend,long,不适配,5,708,16.87,19.55,50.85,50.85,-0.023,0.0822,-0.023,4.3567,4.5678,-4.7751,2026-05-24
trendLong,趋势追多,trend,long,低适配,5,736,38.82,39.38,49.46,49.46,0.063,-0.0932,0.063,5.3451,5.5095,-6.0875,2026-05-18
trendLong,趋势追多,trend,long,中适配,5,264,58.5,56.34,54.17,54.17,0.8514,0.4175,0.8514,4.8038,5.6267,-5.0809,2026-05-14
trendLong,趋势追多,trend,long,高适配,5,1208,93.91,98,54.47,54.47,1.3539,0.5606,1.3539,5.4225,6.0925,-4.8383,2026-05-13
trendLong,趋势追多,trend,long,不适配,10,703,16.93,19.58,51.78,51.78,0.0348,0.2592,0.0348,6.8271,7.017,-7.0653,2026-05-19
trendLong,趋势追多,trend,long,低适配,10,736,38.82,39.38,49.59,49.59,0.5325,-0.1651,0.5325,7.5139,7.9195,-8.3794,2026-05-18
trendLong,趋势追多,trend,long,中适配,10,264,58.5,56.34,53.03,53.03,1.2266,0.5919,1.2266,7.2793,8.392,-7.0831,2026-05-14
trendLong,趋势追多,trend,long,高适配,10,1208,93.91,98,57.37,57.37,2.5952,1.3954,2.5952,7.9604,9.2031,-6.5524,2026-05-13
trendShort,趋势做空,trend,short,不适配,1,1086,9.89,8,47.97,47.97,-0.1347,-0.0888,0.1347,1.8078,1.8664,-1.8257,2026-05-20
trendShort,趋势做空,trend,short,低适配,1,888,37.95,40,47.52,47.52,-0.2227,-0.1179,0.2227,2.2031,2.4294,-2.3378,2026-05-21
trendShort,趋势做空,trend,short,中适配,1,266,58.68,58,48.87,48.87,-0.1364,-0.0605,0.1364,1.8196,2.1199,-2.0078,2026-05-28
trendShort,趋势做空,trend,short,高适配,1,680,89.68,92,47.21,47.21,0.0095,-0.1927,-0.0095,2.5955,2.7215,-3.0856,2026-05-27
trendShort,趋势做空,trend,short,不适配,3,1086,9.89,8,50.37,50.37,-0.2583,0.0269,0.2583,3.44,3.5729,-3.3516,2026-05-20
trendShort,趋势做空,trend,short,低适配,3,888,37.95,40,45.16,45.16,-0.8517,-0.4857,0.8517,3.9826,4.5558,-3.9312,2026-05-21
trendShort,趋势做空,trend,short,中适配,3,265,58.64,58,45.28,45.28,-0.3333,-0.4077,0.3333,3.6596,3.998,-3.5987,2026-05-25
trendShort,趋势做空,trend,short,高适配,3,679,89.66,92,48.6,48.6,-0.0023,-0.122,0.0023,4.5061,4.6303,-5.3019,2026-05-26
trendShort,趋势做空,trend,short,不适配,5,1086,9.89,8,50.55,50.55,-0.4799,0.0546,0.4799,4.6289,4.8083,-4.3423,2026-05-20
trendShort,趋势做空,trend,short,低适配,5,888,37.95,40,45.72,45.72,-1.2676,-0.6039,1.2676,5.2854,6.0672,-5.0763,2026-05-21
trendShort,趋势做空,trend,short,中适配,5,264,58.61,58,46.97,46.97,-0.3506,-0.176,0.3506,4.8815,5.4391,-4.9449,2026-05-24
trendShort,趋势做空,trend,short,高适配,5,678,89.66,92,46.02,46.02,-0.2229,-0.3211,0.2229,5.646,6.0307,-6.6641,2026-05-23
trendShort,趋势做空,trend,short,不适配,10,1085,9.88,8,49.22,49.22,-0.9741,-0.0767,0.9741,7.0937,7.4381,-6.3607,2026-05-19
trendShort,趋势做空,trend,short,低适配,10,887,37.95,40,42.39,42.39,-2.3561,-1.3917,2.3561,8.0062,9.231,-6.9509,2026-05-16
trendShort,趋势做空,trend,short,中适配,10,263,58.6,58,47.15,47.15,-1.0897,-0.774,1.0897,6.5787,7.8478,-6.7823,2026-04-06
trendShort,趋势做空,trend,short,高适配,10,676,89.69,92,46.6,46.6,-0.6535,-0.6706,0.6535,7.898,8.5389,-8.9777,2026-05-17
