stateId,stateName,routeLabel,routeKey,light,signalType,horizon,occurrences,avgScore,successRatePct,directionalWinRatePct,avgRouteReturnPct,avgFutureReturnPct,rankScore
2,放量波动扩张态,向下突破,breakoutDown,红灯,波动方向信号,5,297,42.15,45.12,48.82,4.2149,0.6535,35.67
2,放量波动扩张态,防守等待,waitDefense,观察,风险过滤信号,5,297,32.56,56.9,,1.946,0.6535,35.36
2,放量波动扩张态,防守等待,waitDefense,观察,风险过滤信号,3,297,32.56,52.53,,1.3876,0.4751,32.27
2,放量波动扩张态,防守等待,waitDefense,观察,风险过滤信号,1,297,32.56,48.48,,0.7902,0.2613,29.26
2,放量波动扩张态,向下突破,breakoutDown,红灯,波动方向信号,3,297,42.15,33.67,48.15,3.0822,0.4751,27.88
2,放量波动扩张态,趋势做空,trendShort,红灯,方向信号,5,297,41.1,48.82,48.82,-0.6535,0.6535,27.41
2,放量波动扩张态,趋势做空,trendShort,红灯,方向信号,1,297,41.1,47.81,47.81,-0.2613,0.2613,27.19
2,放量波动扩张态,趋势做空,trendShort,红灯,方向信号,3,297,41.1,48.15,48.15,-0.4751,0.4751,27.1
2,放量波动扩张态,向上突破,breakoutUp,红灯,波动方向信号,1,297,75.55,17.85,52.19,2.0604,0.2613,26.95
2,放量波动扩张态,高抛均值回归,meanReversionShort,红灯,位置回归信号,5,297,40.14,45.45,48.82,-0.6535,0.6535,25.72
2,放量波动扩张态,趋势做空,trendShort,红灯,方向信号,10,297,41.1,47.14,47.14,-1.4178,1.4178,24.2
2,放量波动扩张态,高抛均值回归,meanReversionShort,红灯,位置回归信号,1,297,40.14,40.4,47.81,-0.2613,0.2613,23.68
2,放量波动扩张态,高抛均值回归,meanReversionShort,红灯,位置回归信号,3,297,40.14,40.74,48.15,-0.4751,0.4751,23.59
2,放量波动扩张态,高抛均值回归,meanReversionShort,红灯,位置回归信号,10,297,40.14,43.1,47.14,-1.4178,1.4178,22.21
