date,label,reason,expectedDirection,close,dayChangePct,trendScorePct,resonance,volatilityMultiple,volumeMultiple,middleDeviationRate,middleDeviationAtr,middlePositionPct,maDeviationRate,maDeviationAtr,maPositionPct,horizon,futureReturnPct,maxUpPct,maxDownPct
2026-02-05,背离,共振向下，当日涨跌 1.67%,0,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,5,-3.0571,5.3807,-4.1759
2026-02-05,背离,共振向下，当日涨跌 1.67%,0,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,10,-1.5928,5.3807,-5.1113
2026-02-06,强趋势↓,共振 4/4，趋势动能 -21.59%,-1,69122.3,0.7827,-21.5855,down:4/4,1.0723,1.4458,-11.0559,-2.1036,21.7082,-33.394,-8.4848,6.7095,1,2.9378,3.4698,-0.9003
2026-02-06,强趋势↓,共振 4/4，趋势动能 -21.59%,-1,69122.3,0.7827,-21.5855,down:4/4,1.0723,1.4458,-11.0559,-2.1036,21.7082,-33.394,-8.4848,6.7095,3,0.1839,4.5625,-1.8165
2026-02-06,强趋势↓,共振 4/4，趋势动能 -21.59%,-1,69122.3,0.7827,-21.5855,down:4/4,1.0723,1.4458,-11.0559,-2.1036,21.7082,-33.394,-8.4848,6.7095,5,-2.9211,4.5625,-4.92
2026-02-06,强趋势↓,共振 4/4，趋势动能 -21.59%,-1,69122.3,0.7827,-21.5855,down:4/4,1.0723,1.4458,-11.0559,-2.1036,21.7082,-33.394,-8.4848,6.7095,10,-2.5642,4.5625,-5.848
2026-02-06,过冷,中值位置 22%，MA位置 7%,1,69122.3,0.7827,-21.5855,down:4/4,1.0723,1.4458,-11.0559,-2.1036,21.7082,-33.394,-8.4848,6.7095,1,2.9378,3.4698,-0.9003
2026-02-06,过冷,中值位置 22%，MA位置 7%,1,69122.3,0.7827,-21.5855,down:4/4,1.0723,1.4458,-11.0559,-2.1036,21.7082,-33.394,-8.4848,6.7095,3,0.1839,4.5625,-1.8165
2026-02-06,过冷,中值位置 22%，MA位置 7%,1,69122.3,0.7827,-21.5855,down:4/4,1.0723,1.4458,-11.0559,-2.1036,21.7082,-33.394,-8.4848,6.7095,5,-2.9211,4.5625,-4.92
2026-02-06,过冷,中值位置 22%，MA位置 7%,1,69122.3,0.7827,-21.5855,down:4/4,1.0723,1.4458,-11.0559,-2.1036,21.7082,-33.394,-8.4848,6.7095,10,-2.5642,4.5625,-5.848
