scope,regimeKey,regimeLabel,treeType,horizon,routeKey,routeLabel,technicalQuality,macroQuality,technicalSamples,macroSamples,technicalAccuracyPct,macroAccuracyPct,deltaAccuracyPct,technicalAccuracyLiftPct,macroAccuracyLiftPct,deltaAccuracyLiftPct,technicalFitPrecisionPct,macroFitPrecisionPct,deltaFitPrecisionPct,technicalFitLiftPct,macroFitLiftPct,deltaFitLiftPct,technicalNotFitPrecisionPct,macroNotFitPrecisionPct,deltaNotFitPrecisionPct,technicalNotFitLiftPct,macroNotFitLiftPct,deltaNotFitLiftPct,technicalBestLiftPct,macroBestLiftPct,deltaBestLiftPct,technicalBestPrecisionPct,macroBestPrecisionPct,deltaBestPrecisionPct,decision,technicalReason,macroReason
macro-regime,etf_halving_2024,2024 ETF/减半周期,波动变化树,10,,,观察,观察,366,366,54.92,54.92,0,11.75,11.75,0,0,0,0,0,0,0,0,0,0,-100,-100,0,11.75,11.75,0,54.92,54.92,0,宏观影响小,时间外验证有提升，但还不够强,时间外验证有提升，但还不够强
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,1,breakoutDown,向下突破,弱参考,弱参考,366,366,86.61,86.61,0,0,0,0,0,0,0,-13.39,-13.39,0,86.61,86.61,0,0,0,0,0,0,0,86.61,86.61,0,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,1,breakoutUp,向上突破,弱参考,弱参考,366,366,86.61,86.61,0,0,0,0,0,0,0,-13.39,-13.39,0,86.61,86.61,0,0,0,0,0,0,0,86.61,86.61,0,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,1,gridNeutral,震荡网格,弱参考,弱参考,366,366,84.15,84.15,0,0,0,0,84.15,84.15,0,0,0,0,0,0,0,-15.85,-15.85,0,0,0,0,84.15,84.15,0,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,1,meanReversionLong,低吸均值回归,弱参考,弱参考,366,366,83.06,83.06,0,0,0,0,0,0,0,-16.94,-16.94,0,83.06,83.06,0,0,0,0,0,0,0,83.06,83.06,0,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,1,meanReversionShort,高抛均值回归,弱参考,弱参考,366,366,76.78,76.78,0,0,0,0,0,0,0,-23.22,-23.22,0,76.78,76.78,0,0,0,0,0,0,0,76.78,76.78,0,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,1,trendLong,趋势追多,弱参考,弱参考,366,366,56.56,56.56,0,0,0,0,56.56,56.56,0,0,0,0,0,0,0,-43.44,-43.44,0,0,0,0,56.56,56.56,0,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,1,trendShort,趋势做空,弱参考,弱参考,366,366,56.56,56.56,0,0,0,0,0,0,0,-43.44,-43.44,0,56.56,56.56,0,0,0,0,0,0,0,56.56,56.56,0,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,1,waitDefense,防守等待,弱参考,弱参考,366,366,55.46,55.46,0,0,0,0,0,0,0,-44.54,-44.54,0,55.46,55.46,0,0,0,0,0,0,0,55.46,55.46,0,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,3,breakoutDown,向下突破,弱参考,弱参考,366,366,65.3,65.3,0,0,0,0,0,0,0,-34.7,-34.7,0,65.3,65.3,0,0,0,0,0,0,0,65.3,65.3,0,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
