status,path,instrument,bar,cleanRows,snapshotCount,dataStatus,historyQuality,periodWeight,observationRows,environmentCounts
ok,/Users/guanlan/Desktop/--whd/data/clean/ZK_USDT_1D_clean.json,ZK-USDT,1D,715,483,ok,half_weight,0.67,1340,"{'TREND': 1180, 'CHAOS': 96, 'RANGE': 64}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ZRO_USDT_1D_clean.json,ZRO-USDT,1D,713,481,ok,half_weight,0.67,1220,"{'TREND': 1020, 'CHAOS': 128, 'RANGE': 72}"
ok,/Users/guanlan/Desktop/--whd/data/clean/GALA_USDT_1D_clean.json,GALA-USDT,1D,1715,1483,ok,half_weight,0.7,4264,"{'TREND': 3836, 'CHAOS': 284, 'RANGE': 144}"
ok,/Users/guanlan/Desktop/--whd/data/clean/SAND_USDT_1D_clean.json,SAND-USDT,1D,1903,1671,ok,half_weight,0.7,4566,"{'TREND': 3942, 'CHAOS': 352, 'RANGE': 272}"
ok,/Users/guanlan/Desktop/--whd/data/clean/MANA_USDT_1D_clean.json,MANA-USDT,1D,3065,2833,ok,half_weight,0.7,8331,"{'TREND': 7355, 'RANGE': 356, 'CHAOS': 620}"
ok,/Users/guanlan/Desktop/--whd/data/clean/BTC_USDT_4H_clean.json,BTC-USDT,4H,18382,18150,ok,half_weight,0.7,43443,"{'TREND': 22276, 'RANGE': 13341, 'CHAOS': 7826}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ETH_USDT_4H_clean.json,ETH-USDT,4H,18382,18150,ok,half_weight,0.7,46697,"{'RANGE': 11305, 'TREND': 29508, 'CHAOS': 5884}"
ok,/Users/guanlan/Desktop/--whd/data/clean/SOL_USDT_4H_clean.json,SOL-USDT,4H,12427,12195,ok,half_weight,0.7,31467,"{'TREND': 23238, 'CHAOS': 3257, 'RANGE': 4972}"
ok,/Users/guanlan/Desktop/--whd/data/clean/BNB_USDT_4H_clean.json,BNB-USDT,4H,7557,7325,ok,half_weight,0.7,17035,"{'CHAOS': 3564, 'TREND': 7035, 'RANGE': 6436}"
ok,/Users/guanlan/Desktop/--whd/data/clean/XRP_USDT_4H_clean.json,XRP-USDT,4H,18385,18153,ok,half_weight,0.7,45378,"{'TREND': 27318, 'RANGE': 11889, 'CHAOS': 6171}"
ok,/Users/guanlan/Desktop/--whd/data/clean/DOGE_USDT_4H_clean.json,DOGE-USDT,4H,15067,14835,ok,half_weight,0.7,40150,"{'CHAOS': 6247, 'TREND': 24008, 'RANGE': 9895}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ADA_USDT_4H_clean.json,ADA-USDT,4H,17227,16995,ok,half_weight,0.7,45574,"{'RANGE': 10121, 'TREND': 30283, 'CHAOS': 5170}"
ok,/Users/guanlan/Desktop/--whd/data/clean/LINK_USDT_4H_clean.json,LINK-USDT,4H,18385,18153,ok,half_weight,0.7,49099,"{'TREND': 35145, 'CHAOS': 5522, 'RANGE': 8432}"
ok,/Users/guanlan/Desktop/--whd/data/clean/AVAX_USDT_4H_clean.json,AVAX-USDT,4H,12475,12243,ok,half_weight,0.7,32382,"{'TREND': 24139, 'CHAOS': 3391, 'RANGE': 4852}"
